cfact;HeartlandInstitute;MattKibbe;wattsupwiththat-133662869999306;Energy.Citizens;Reason.Magazine;justrealfacts;FoSClimateEd;The-Galileo-Movement-101728306584541;DavidAustinFrench;MercatorNet;CFACTCampus;marklevinshow;isthereglobalcooling;TheNewAmerican;hatingbreitbart;AmericanThinker;humaneventsmedia;IMConservative
iloveco2;inconvenientfacts.xyz;theGWPF;The-Galileo-Movement-101728306584541;thegrandsolarmini;wattsupwiththat-133662869999306;wwpagws;GunCultureWorld;ClimateHomeNews;LordMonckton;TheGeneralConsensus;iHeartClimateScientists;Armstrongecon;thepursuitofenergy;FoSClimateEd;TheLastAmericanVagabond;Michael-Roberts-blog-925340197491022;TheNewAmerican;R2ANM
ClimateChangeLIES;IPCC;wattsupwiththat-133662869999306;pubint;The-Galileo-Movement-101728306584541;extremweatherworldd;FoSClimateEd;AboveClimateChange;LordMonckton;EconomicUpdate;theGWPF;SkepticalScience;inconvenientfacts.xyz;DeSmogBlog;flatearthnewsreports;Vaccine-Facts-2220944541515484;FluorideActionNetwork;hangthebankers;RichardDWolff
australianclimatemadness;The-Galileo-Movement-101728306584541;JenniferMarohasyOfficialPage;wattsupwiththat-133662869999306;LordMonckton;noteviljustwrong;markbloodylatham;MichaelSmithNews;The-Australian-ANTI-Greens-158418580891970;BigPicNews;superfruit;thedailychrenk;menzieshouse;AustralianPoliticalReview;anggos;submarineinstitute;BlackStump.com.au;ThePointTV;Climate-debate-response-team-382162442600207
ClimateDepot;theGWPF;inconvenientfacts.xyz;wattsupwiththat-133662869999306;FoSClimateEd;climatehustle2;LordMonckton;revolvermag;ClimateNews.ca;pubint;theoppenheimgroup;HeartlandInstitute;TheFLW;thepursuitofenergy;GOPUSA;oldtimeradiotvprogams;WoodsmithPlan;Armstrongecon;HooverInstStanford
ccdispatch;theGWPF;SkepticalScience;The-Galileo-Movement-101728306584541;wattsupwiththat-133662869999306;HumanProgress.org;isthereglobalcooling;wwpagws;BrideMagazines;ClimateHomeNews;LordMonckton;FoSClimateEd;ClimateNews.ca;GreenNewDeal;BulletinOfTheAtomicScientists;MercatorNet;CourageousConservativesPAC;thatsnonsense;theresurgent
TheCO2Coalition;theGWPF;inconvenientfacts.xyz;wattsupwiththat-133662869999306;pubint;mothersfornuclear;FoSClimateEd;onenewsnowcom;industrialprogress;NYPost;lawyerscommitteefor911inquiry;isthereglobalcooling;olivetreeviews;thepursuitofenergy;redpilluniversity;Armstrongecon;SimonSchusterCA;LordMonckton;the.real.institute.max.bliss
Global-Warming-Climate-Change-whatever-its-called-is-a-scam-241741379521;Ridin-With-Biden-106680931091684;CCGWHiddenEvidence;STOP-GLOBAL-WARMING-118855296926;Totally-American-340056988555;unvarnishedshow;Miss-Conservative-American-Woman-119925154706523;The-Liberal-Heretics-190901221664;Obama-has-committed-TREASON--122677304419852;TrumpObloquy;historyguy.com.website;BigPicNews;Political-Christian-111853925535909;Overpasses-for-America-Wisconsin-257572297742342;JamesLouisBruno;ComingOutA50YearHistory;Unicorns2Unite
Global-Climate-Scam-1392664020945768;wwpagws;LordMonckton;conservativevoice.ca;BigPicNews;ClimateChangingHeritage;nationalwindwatch;bougeonsaavancon;Make-California-Great-Again-Inc-Latinos-for-Trump-Nevada-County-269551113821000;TheTrueCo;Atomic-Engineering-Facility-1425172197703269;Bretts-Garage-148949925144877;The-Dogwood-Society-101929337961278;yukonconservative;PlanetNewsUSA;AdventuresOfDanAndTina;Track.n.Sign;The-War-On-Nature-308653886267381;Ekklesia2520
greenpeace.international;WWF;worldwildlifefund;unitednations;amnesty;thenatureconservancy;oceana;unesco;newscientist;conservation.intl;greenpeaceusa;GreenpeaceBrasil;greenpeace.de;WorldAnimalProtectionInt;TheOceanCleanup;Greenpeace.Rainbow.Warrior;greenpeacepicdesk;bbcearth;official.peta
NASAClimateChange;NASAUniverse;NASA.STI.Program;nasaearth;NASAKennedy;NASASLS;NASAGoddard;BBCScienceNews;IPCC;nasaspaceplace;nasasolarsystem;NatGeoOcean;WorldMeteorologicalOrganization;nasamarshallcenter;NASASunScience;Climate-Awareness-Network-325073881246240;NASAOrion;NASAExplores
bloomberggreen;BloombergPolitics;bloombergbusinessweek;BloombergTelevision;bloombergopinion;BBCFuture;cnbcinternational;bloombergpursuits;NBCNewsWorld;CNBCTech;nytimesscience;neweconforum;Reuters;OurWorldinData;washingtonpostopinions;bloombergdotorg;NBCNewsBusiness;JSTORDaily;bloombergquint
acespace;350.org;CitizensClimateLobby;joebiden;youngoclimate;naralprochoiceamerica;sunrisemvmt;Earth-Uprising-106427537392423;ThisIsZeroHour;greenpeaceusa;climatepower2020;DonaldTrump;policyed;Everytown;youthvgov;ourclimatevoices;EnvDefenseFund;EndCitizensUnitedPAC;NPSClimateChange
ClimateChangeIsReal;Climatechange2040;climateconcerns;Mason4C;ganjagirls;wecameasromans;ClimateChangeFacts;climatechangetheatreaction;HugoBecerraMRacing;sse.evolution;thejustinames;Singbackcom-340202136003349;ArcticAnthropology;Tapadero-159357944109849;OverPopulationCrisis;enfocatuvida;Am%C3%A9n-Aleluya-130266513740108;Overpopulation.org;Over-Population-The-source-of-the-worlds-problems-263997227965
climatereality;350.org;nasaearth;algore;WorldOceanObservatory;IPCC;conservation.intl;ScienceAlert;thenatureconservancy;US.NSF;climatepower2020;wefenvironment;EcoWatch;gretathunbergsweden;insideclimatenews;climatecentral;Climate-Awareness-Network-325073881246240;WorldWarZeroOrg;cnnweather
ClimateChangeNews;ClimateUNESCO;GWFOTD;Climate-Change-and-Global-Warming-1996390693908922;probioticsreviews;ClimateChange.SDG.KnowledgeHub.IISD;Global-Warming-and-Climate-Change-469635253148107;Confucius-Says-131597044189;SimplyTheBestFairTradeShop;IntersectionalJustice;theGWPF;PhilosophyNow;GWandCC;philosophical.thoughts.life;isappscience;StanfordHistoryEducationGroup;NatureEducation;hiddencauses;NPSClimateChange
NatureClimateChange;ClimateUNESCO;natecolevol;scientificreports;IPCC;ClimateHomeNews;iucnrle;nature;sciencecareers;DailyClimate;Global-Change-Biology-119917444749361;NPSClimateChange;iucn.org;climatehistory;ClimateChange.SDG.KnowledgeHub.IISD;IPCCScholarship;WorldValuesSurvey;ClimateExeter;iHeartClimateScientists
ClimateChangeCauses;ClimateUNESCO;SimplyTheBestFairTradeShop;causes;EnvironmentandClimateChange;GWFOTD;SAREOutreach;GlobalWarmingIssues;SustDev;PlasticPollution;CliffsNotes;forestcarbonpartnershipfacility;ArtsCauses;EducationCauses;Climate-Change-and-Global-Warming-1996390693908922;LiveScienceT;elsevierforensics;CANInternational;ZeroWasteASU
GlobalwarmingEva;Climate-Change-and-Global-Warming-1996390693908922;GWFOTD;GlobalWarmingIssues;SaveEarthTrees;Ethiopian-Environment-and-Forest-Research-Institute-EEFRI-1423042431341019;hypothalamus.of.life;%E1%88%8E%E1%88%AC%E1%89%B5-%E1%8D%80%E1%8C%8B%E1%8B%AC-%E1%8C%88%E1%89%A5%E1%88%A8-%E1%88%98%E1%8B%B5%E1%88%85%E1%8A%95-271243023615527;Vox;PlantTreeSavePlanet;Plants.Botany;muferihatkamilOfficialpage;Effect-Of-Climate-Change-1189951081032559;Science-World-1290639184399515;SutraNow;oroenvironmentalissues;GWandCC;Information.science.and.Technology;Savewaterforyourbaby
